concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
36685457,GOLD (Global Initiative for Chronic Obstructive Lung Disease) 2017 spirometric grade 3,Condition,SNOMED,Clinical Finding,S,1097931000000107,0000-00-00,0000-00-00,
36685458,GOLD (Global Initiative for Chronic Obstructive Lung Disease) 2017 spirometric grade 4,Condition,SNOMED,Clinical Finding,S,1097941000000103,0000-00-00,0000-00-00,
4279232,Susceptibility to infection response - finding,Condition,SNOMED,Clinical Finding,S,366670002,0000-00-00,0000-00-00,
4277183,Increased maximal voluntary ventilation,Condition,SNOMED,Clinical Finding,S,36880005,0000-00-00,0000-00-00,
4186045,American Society of Anesthesiologists physical status class 6,Condition,SNOMED,Clinical Finding,S,413500003,0000-00-00,0000-00-00,
44810949,Gross Motor Function Classification System for Cerebral Palsy level finding,Condition,SNOMED,Clinical Finding,S,881501000000104,0000-00-00,0000-00-00,
37174862,Lung compliance within reference range,Condition,SNOMED,Clinical Finding,S,1186977004,0000-00-00,0000-00-00,
37166069,Acute toxicity of brain due to and following radiotherapy of brain,Condition,SNOMED,Disorder,S,1259062000,0000-00-00,0000-00-00,
37174254,Anaphylaxis caused by component of vaccine product containing only acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens,Condition,SNOMED,Disorder,S,711561000124107,0000-00-00,0000-00-00,
439156,Finding of neonate,Condition,SNOMED,Clinical Finding,S,118188004,0000-00-00,0000-00-00,
4090826,Susceptibility to tuberculosis,Condition,SNOMED,Clinical Finding,S,252103004,0000-00-00,0000-00-00,
4113704,Finding of measures of urine output,Condition,SNOMED,Clinical Finding,S,300475002,0000-00-00,0000-00-00,
4168318,Genetic disorder carrier,Condition,SNOMED,Clinical Finding,S,47461006,0000-00-00,0000-00-00,
1074130,Recovered from adverse event with sequelae,Observation,SNOMED,Clinical Finding,S,1335890004,0000-00-00,0000-00-00,
1074213,Recovering from adverse event,Observation,SNOMED,Clinical Finding,S,1336140009,0000-00-00,0000-00-00,
1074284,Persistent adverse event without recovery,Observation,SNOMED,Clinical Finding,S,1339036001,0000-00-00,0000-00-00,
1074540,Perplexing presentations,Observation,SNOMED,Clinical Finding,S,2088961000000103,0000-00-00,0000-00-00,
1075370,"MYT1L-related developmental delay, intellectual disability, obesity syndrome",Condition,SNOMED,Disorder,S,1303866001,0000-00-00,0000-00-00,
1075371,"Early-onset obesity, hyperphagia, severe developmental delay syndrome",Condition,SNOMED,Disorder,S,1303867005,0000-00-00,0000-00-00,
1075636,Acute aspiration pneumonitis,Condition,SNOMED,Disorder,S,1306598009,0000-00-00,0000-00-00,
1075886,Hypertension in chronic kidney disease stage 3B due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,1332436006,0000-00-00,0000-00-00,
1075887,Hypertension in chronic kidney disease stage 3A due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,1332441003,0000-00-00,0000-00-00,
1075888,Hypertension in chronic kidney disease stage 3 due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,1332442005,0000-00-00,0000-00-00,
1075903,Hypertension in chronic kidney disease stage 2 due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,1332464001,0000-00-00,0000-00-00,
1075904,Hypertension in chronic kidney disease stage 3B due to type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,1332465000,0000-00-00,0000-00-00,
1075905,Hypertension in chronic kidney disease stage 3A due to type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,1332466004,0000-00-00,0000-00-00,
